	T[s]	Bpos[mm]	BamFile
0	0.02	0.0	106538607064200.jpg
1	1.06	0.074	
2	2.08	0.248	
3	3.13	0.422	
4	4.18	0.541	
5	5.23	0.716	
6	6.28	0.894	
7	7.33	1.069	
8	8.37	1.242	
9	9.41	1.417	
10	10.46	1.591	
11	11.51	1.766	
12	12.57	1.941	
13	13.61	2.115	
14	14.66	2.29	
15	15.71	2.465	106538607245800.jpg
16	16.77	2.641	
17	17.82	2.816	
18	18.87	2.99	
19	19.91	3.165	
20	20.96	3.34	
21	22.01	3.515	
22	23.06	3.689	
23	24.11	3.864	
24	25.16	4.039	
25	26.21	4.215	
26	27.26	4.39	
27	28.3	4.563	
28	29.35	4.738	
29	30.4	4.913	106538607415800.jpg
30	31.46	5.089	
31	32.51	5.264	
32	33.55	5.438	
33	34.61	5.613	
34	35.65	5.788	
35	36.7	5.963	
36	37.75	6.139	
37	38.8	6.313	
38	39.85	6.488	
39	40.9	6.662	
40	41.95	6.838	
41	43.0	7.014	
42	44.05	7.188	
43	45.1	7.361	106538607585900.jpg
44	46.17	7.541	
45	47.22	7.715	
46	48.27	7.889	
47	49.31	8.064	
48	50.36	8.24	
49	51.41	8.415	
50	52.46	8.589	
51	53.51	8.763	
52	54.56	8.939	
53	55.61	9.114	
54	56.66	9.289	
55	57.71	9.463	
56	58.75	9.638	
57	59.8	9.813	106538607756100.jpg
58	60.86	9.988	
59	61.91	10.163	
60	62.95	10.338	
61	64.0	10.512	
62	65.05	10.688	
63	66.1	10.863	
64	67.15	11.038	
65	68.2	11.213	
66	69.25	11.388	
67	70.3	11.562	
68	71.35	11.737	
69	72.4	11.912	
70	73.45	12.087	
71	74.5	12.262	
72	75.55	12.436	106538607938300.jpg
73	76.56	12.605	
74	77.61	12.78	
75	78.66	12.955	
76	79.7	13.129	
77	80.75	13.304	
78	81.8	13.479	
79	82.85	13.654	
80	83.9	13.829	
81	84.95	14.004	
82	86.0	14.179	
83	87.05	14.354	
84	88.1	14.527	
85	89.15	14.703	
86	90.2	14.878	106538608107900.jpg
87	91.23	15.049	
88	92.28	15.224	
89	93.32	15.399	
90	94.38	15.574	
91	95.42	15.748	
92	96.47	15.923	
93	97.52	16.098	
94	98.57	16.273	
95	99.61	16.447	
96	100.67	16.623	
97	101.72	16.798	
98	102.77	16.973	
99	103.82	17.148	
100	104.86	17.322	106538608277600.jpg
101	105.87	17.491	
102	106.92	17.665	
103	107.97	17.841	
104	109.02	18.015	
105	110.07	18.19	
106	111.12	18.364	
107	112.17	18.54	
108	113.22	18.714	
109	114.27	18.889	
110	115.32	19.064	
111	116.36	19.238	
112	117.41	19.413	
113	118.46	19.588	
114	119.51	19.763	
115	120.56	19.938	106538608459300.jpg
116	121.56	20.104	
117	122.61	20.28	
118	123.66	20.453	
119	124.7	20.629	
120	125.75	20.803	
121	126.8	20.979	
122	127.85	21.152	
123	128.9	21.329	
124	129.96	21.503	
125	131.01	21.679	
126	132.06	21.854	
127	133.11	22.029	
128	134.16	22.204	
129	135.2	22.378	106538608628800.jpg
130	136.26	22.555	
131	137.31	22.728	
132	138.36	22.904	
133	139.4	23.077	
134	140.45	23.253	
135	141.5	23.426	
136	142.55	23.603	
137	143.6	23.776	
138	144.65	23.953	
139	145.7	24.127	
140	146.75	24.302	
141	147.79	24.476	
142	148.85	24.651	
143	149.89	24.826	106538608798800.jpg
144	150.95	25.001	
145	152.0	25.178	
146	153.05	25.351	
147	154.1	25.528	
148	155.15	25.701	
149	156.2	25.877	
150	157.25	26.051	
151	158.3	26.227	
152	159.35	26.401	
153	160.39	26.576	
154	161.44	26.751	
155	162.49	26.926	
156	163.54	27.101	
157	164.59	27.274	
158	165.64	27.45	106538608981000.jpg
159	166.64	27.618	
160	167.69	27.791	
161	168.74	27.967	
162	169.79	28.141	
163	170.84	28.318	
164	171.9	28.494	
165	172.91	28.661	
166	173.98	28.841	
167	174.98	29.008	
168	175.99	29.175	
169	176.99	29.341	
170	177.99	29.508	
171	178.99	29.675	
172	179.99	29.841	106538609147200.jpg
173	181.03	30.015	
174	182.03	30.182	
175	183.04	30.348	
176	184.04	30.516	
177	185.04	30.683	
178	186.05	30.851	
179	187.05	31.018	
180	188.05	31.186	
181	189.06	31.352	
182	190.13	31.531	
183	191.14	31.698	
184	192.14	31.866	
185	193.14	32.033	
186	194.14	32.2	
187	195.15	32.367	106538609322600.jpg
188	196.16	32.536	
189	197.16	32.703	
190	198.16	32.87	
191	199.17	33.037	
192	200.25	33.217	
193	201.25	33.385	
194	202.25	33.551	
195	203.25	33.719	
196	204.26	33.886	
197	205.26	34.053	
198	206.27	34.22	
199	207.27	34.387	
200	208.27	34.554	
201	209.27	34.721	
202	210.35	34.901	106538609498500.jpg
203	211.4	35.076	
204	212.4	35.244	
205	213.41	35.41	
206	214.48	35.59	
207	215.49	35.756	
208	216.49	35.924	
209	217.49	36.09	
210	218.49	36.257	
211	219.49	36.424	
212	220.5	36.592	
213	221.5	36.759	
214	222.5	36.926	
215	223.58	37.106	
216	224.58	37.272	
217	225.58	37.439	106538609674800.jpg
218	226.62	37.613	
219	227.62	37.78	
220	228.62	37.946	
221	229.63	38.113	
222	230.63	38.279	
223	231.63	38.447	
224	232.63	38.614	
225	233.64	38.782	
226	234.64	38.95	
227	235.65	39.117	
228	236.65	39.283	
229	237.65	39.45	
230	238.65	39.617	
231	239.65	39.784	
232	240.66	39.95	106538609849300.jpg
233	241.67	40.12	
234	242.67	40.288	
235	243.67	40.454	
236	244.75	40.633	
